aX,aY,aZ,gX,gY,gZ
-0.397,0.110,2.620,35.767,237.549,-24.231
-0.412,-0.350,2.527,-0.671,264.099,-38.940
-0.436,-0.649,2.271,-32.104,295.898,-36.194
-0.461,-0.719,1.868,-55.786,329.285,-18.555
-0.462,-0.636,1.452,-70.068,354.248,2.869
-0.464,-0.456,1.054,-74.097,370.117,23.499
-0.491,-0.263,0.614,-70.374,382.568,37.048
-0.487,-0.099,0.131,-59.814,391.724,42.908
-0.465,0.063,-0.361,-43.762,389.526,44.067
-0.405,0.247,-0.658,-28.320,369.385,41.016
-0.322,0.466,-0.813,-9.583,333.313,33.752
-0.217,0.647,-0.903,4.639,299.194,19.653
-0.109,0.649,-0.994,10.315,272.705,-2.686
-0.002,0.473,-1.046,8.728,249.084,-27.649
0.090,0.227,-1.071,3.235,227.478,-46.509
0.177,-0.003,-1.096,-3.235,209.106,-55.786
0.267,-0.215,-1.134,-9.460,193.420,-58.228
0.351,-0.380,-1.180,-15.747,180.176,-55.054
0.457,-0.497,-1.240,-20.325,168.884,-47.668
0.551,-0.506,-1.434,-17.090,160.767,-39.307
0.623,-0.426,-1.643,-8.179,149.414,-32.654
0.648,-0.517,-1.734,-6.958,129.883,-33.875
0.694,-0.617,-1.818,-5.249,109.985,-32.410
0.681,-0.568,-2.014,1.282,92.773,-21.545
0.672,-0.455,-2.162,5.737,68.542,-9.521
0.658,-0.384,-2.147,2.136,33.386,-2.808
0.625,-0.335,-2.062,-5.615,-1.404,0.793
0.569,-0.226,-1.989,-13.611,-31.738,5.798
0.519,-0.090,-1.891,-22.095,-61.462,10.193
0.481,0.010,-1.809,-26.611,-90.759,10.315
0.468,0.078,-1.737,-23.865,-118.835,7.446
0.479,0.115,-1.649,-17.761,-146.118,1.892
0.402,0.008,-1.633,-9.949,-171.082,-7.446
0.338,-0.070,-1.562,-1.709,-200.073,-11.963
0.262,-0.084,-1.435,7.324,-231.262,-10.193
0.166,-0.110,-1.302,13.794,-259.033,-9.033
0.052,-0.164,-1.143,15.564,-284.607,-7.812
-0.051,-0.206,-1.011,15.076,-307.739,-4.333
-0.181,-0.214,-1.012,15.259,-327.209,1.221
-0.373,-0.165,-1.019,15.747,-350.586,8.789
-0.584,-0.085,-0.860,14.526,-385.315,15.076
-0.835,-0.032,-0.563,15.808,-422.974,18.066
-1.049,-0.040,-0.158,17.639,-456.421,19.836
-1.212,-0.066,0.371,18.860,-483.887,23.376

-1.336,0.595,2.760,39.978,-495.972,40.771
-1.204,0.892,3.269,72.571,-459.229,31.250
-0.950,0.899,3.867,95.215,-401.367,-0.061
-0.777,0.374,4.000,95.581,-310.974,-48.096
-0.664,-0.354,3.834,78.186,-219.604,-85.327
-0.557,-0.891,3.744,37.842,-153.137,-92.407
-0.448,-1.233,3.896,-18.921,-111.389,-79.163
-0.315,-1.377,4.000,-68.054,-74.951,-54.871
-0.181,-1.214,4.000,-91.919,-31.860,-22.217
0.030,-1.092,4.000,-92.651,13.855,4.089
-0.079,-0.714,3.614,-70.984,54.077,22.583
-0.022,-0.809,3.465,-49.133,73.975,24.292
-0.005,-0.717,3.205,-13.428,90.271,30.579
-0.086,-0.419,2.872,13.611,113.892,45.105
-0.132,-0.257,2.789,30.457,126.282,47.913
-0.202,-0.122,2.778,46.326,141.846,46.570
-0.317,0.116,2.732,55.908,165.588,46.021
-0.385,0.189,2.755,50.781,187.622,34.180
-0.450,-0.081,2.786,32.166,210.388,11.414
-0.503,-0.479,2.592,7.935,242.310,-2.686
-0.528,-0.697,2.268,-13.367,274.231,3.296
-0.503,-0.747,1.933,-27.283,296.326,22.278
-0.446,-0.626,1.690,-33.691,308.350,45.471
-0.435,-0.416,1.407,-33.081,320.801,64.819
-0.456,-0.214,1.053,-27.405,334.595,75.928
-0.485,0.032,0.697,-18.372,344.177,80.444
-0.501,0.369,0.351,-6.042,347.595,81.238
-0.488,0.692,0.018,4.822,344.727,72.815
-0.432,0.879,-0.202,9.216,334.167,51.208
-0.360,0.871,-0.428,11.292,321.533,20.935
-0.273,0.691,-0.655,5.554,312.561,-9.460
